lemma,word,pos
alle,allem,PRON
alle,alle,PRON
alle,alles,PRON
alle,Alle,PRON
andere,anderen,PRON
andere,andere,PRON
der,die,PRON
der,das,PRON
der,der,PRON
der,denen,PRON
der,Das,PRON
dich,dich,PRON
dieser,dies,PRON
dieser,Dies,PRON
dieser,Diese,PRON
dir,dir,PRON
du,Du,PRON
du,du,PRON
er,er,PRON
er,Er,PRON
er,ihn,PRON
erste,erster,PRON
es,Es,PRON
es,es,PRON
es,'s,PRON
etwas,etwas,PRON
euch,euch,PRON
ich,Ich,PRON
ich,ich,PRON
ihr,ihr,PRON
ihr,Ihr,PRON
jemand,jemanden,PRON
jemand,jemand,PRON
man,man,PRON
man,Man,PRON
mir,Mir,PRON
mir,mir,PRON
nichts,nichts,PRON
niemand,niemand,PRON
niemand,niemanden,PRON
sich,mich,PRON
sich,uns,PRON
sich,sich,PRON
sie,ihnen,PRON
sie,sie,PRON
sie,Sie,PRON
viele,Viele,PRON
was,Was,PRON
was,was,PRON
wen,wen,PRON
wen,Wen,PRON
wer,Wer,PRON
wir,Wir,PRON
wir,wir,PRON